kode	uraian	vol	sat	hargasat	jumlah	kdblokir	sdana
	    -     Transport narasumber  [2 OR x 1 KL]	2	OK	150000	300000		
     AE	D-III Keperawatan Magelang	0		0	16170000		
     525111	Belanja Gaji dan Tunjangan	0		0	5000000		F
	> Workshop reviu kurikulum	0		0	5000000		
	    -     Honor narasumber workshop reviu kurikulum  [2 OR x 3 JAM x 1 KL]	6	JAM	500000	3000000		
	 >> Persiapan pra klinik	0		0	2000000		
	    -     Honor narasumber  [2 OR x 2 JAM]	4	OK	500000	2000000		
     525112	Belanja Barang	0		0	4720000		F
	> Workshop reviu kurikulum	0		0	4720000		
	    -     Konsumsi workshop reviu kurikulum  [15 OR x 2 HR x 1 KL]	30	OK	53000	1590000		
	    -     Penggandaan materi workshop reviu kurikulum  [15 OR x 20 LBR x 3 MTR]	900	LBR	200	180000		
	 >> Persiapan pra klinik	0		0	2950000		
	    -     Konsumsi capping day	118	OK	25000	2950000		
     525115	Belanja Perjalanan	0		0	6450000		F
	> Workshop reviu kurikulum	0		0	6450000		
	    -     Transport pertemuan dalam kota  [15 OR x 1 KL]	15	OK	150000	2250000		
	    -     Uang harian fullboard dalam kota  [15 OR x 2 HR]	30	OH	130000	3900000		
	 >> Persiapan pra klinik	0		0	300000		
	    -     Transport narasumber  [2 OR x 1 KL]	2	OK	150000	300000		
     AF	D-IV Keperawatan Semarang	0		0	15970000		
     525111	Belanja Gaji dan Tunjangan	0		0	5000000		F
	> Workshop reviu kurikulum	0		0	5000000		
	    -     Honor narasumber workshop reviu kurikulum  [2 OR x 3 JAM x 1 KL]	6	JAM	500000	3000000		
	 >> Persiapan pra klinik	0		0	2000000		
	    -     Honor narasumber  [2 OR x 2 JAM]	4	OK	500000	2000000		
     525112	Belanja Barang	0		0	4520000		F
	> Workshop reviu kurikulum	0		0	4520000		
	    -     Konsumsi workshop reviu kurikulum  [15 OR x 2 HR x 1 KL]	30	OK	53000	1590000		
	    -     Penggandaan materi workshop reviu kurikulum  [15 OR x 20 LBR x 3 MTR]	900	LBR	200	180000		
	 >> Persiapan pra klinik	0		0	2750000		
	    -     Konsumsi capping day	110	OR	25000	2750000		
     525115	Belanja Perjalanan	0		0	6450000		F
	> Workshop reviu kurikulum	0		0	6450000		
	    -     Transport pertemuan dalam kota  [15 OR x 1 KL]	15	OK	150000	2250000		
	    -     Uang harian fullboard dalam kota  [15 OR x 2 HR]	30	OH	130000	3900000		
	 >> Persiapan pra klinik	0		0	300000		
	    -     Transport narasumber  [2 OR x 1 KL]	2	OK	150000	300000		
     AJ	D-IV Keperawatan Magelang	0		0	15270000		
     525111	Belanja Gaji dan Tunjangan	0		0	5000000		F
	> Workshop reviu kurikulum	0		0	5000000		
	    -     Honor narasumber workshop reviu kurikulum  [2 OR x 3 JAM x 1 KL]	6	JAM	500000	3000000		
	 >> Persiapan pra klinik	0		0	2000000		
	    -     Honor narasumber  [2 OR x 2 JAM]	4	OK	500000	2000000		
     525112	Belanja Barang	0		0	3820000		F
	> Workshop reviu kurikulum	0		0	3820000		
	    -     Konsumsi workshop reviu kurikulum  [15 OR x 2 HR x 1 KL]	30	OK	53000	1590000		
	    -     Penggandaan materi workshop reviu kurikulum  [15 OR x 20 LBR x 3 MTR]	900	LBR	200	180000		
	 >> Persiapan pra klinik	0		0	2050000		
	    -     Konsumsi capping day	82	OK	25000	2050000		
     525115	Belanja Perjalanan	0		0	6450000		F
	> Workshop reviu kurikulum	0		0	6450000		
	    -     Transport pertemuan dalam kota  [15 OR x 1 KL]	15	OK	150000	2250000		
	    -     Uang harian fullboard dalam kota  [15 OR x 2 HR]	30	OH	130000	3900000		
	 >> Persiapan pra klinik	0		0	300000		
	    -     Transport narasumber  [2 OR x 1 KL]	2	OK	150000	300000		
   052	Pembelajaran Teori dan Praktikum	0		0	2229310000		
      A	MANAJEMEN JURUSAN KEPERAWATAN	0		0	1351750000		
     525112	Belanja Barang	0		0	441250000		F
	    -     Konsumsi rapat koordinasi tk jurusan  [25 ORG x 2 KEG x 1 TH]	50	OK	25000	1250000		
	    -     Bahan praktek	1	PT	275000000	275000000		
	    -     ATK	1	PT	165000000	165000000		
     525119	Belanja Penyediaan Barang dan Jasa BLU Lainnya	0		0	910500000		F
	    -     Biaya pemenuhan kompetensi mahasiswa prodi D-III Semarang  [104 MHS x 1 KL]	104	PT	1500000	156000000		
	    -     Biaya pemenuhan kompotensi mahasiswa prodi D-III Blora  [112 MHS x 1 KL]	112	MHS	1500000	168000000		
	    -     Biaya pemenuhan kompotensi mahasiswa prodi D-III Pekalongan  [105 MHS x 1 KL]	105	PT	1500000	157500000		
	    -     Biaya pemenuhan kompotensi mahasiswa prodi D-III Magelang  [78 MHS x 1 KL]	78	MHS	1500000	117000000		
	    -     Biaya pemenuhan kompotensi mahasiswa prodi D-III Purwokerto  [130 MHS x 1 KL]	130	PT	1500000	195000000		
	    -     Biaya pemenuhan kompotensi mahasiswa prodi D-IV Semarang  [45 MHS x 1 KL]	45	PT	1500000	67500000		
	    -     Biaya pemenuhan kompotensi mahasiswa prodi D-IV Magelang  [33 MHS x 1 KL]	33	MHS	1500000	49500000		
     AA	D-III Keperawatan Semarang	0		0	129590000		
     525111	Belanja Gaji dan Tunjangan	0		0	31040000		F
	    -     Honor DTT pembuatan soal  [2 MA x 2 SMT x 2 KEG]	8	OK	230000	1840000		
	    -     Honor Dosen Tamu  [3 KL x 1 DSN x 2 JAM]	6	OK	200000	1200000		
	    -     Honor Dosen tidak tetap  [4 SKS x 14 TM x 2 KLS x 1 SMT]	112	OJ	250000	28000000		
     525112	Belanja Barang	0		0	1450000		F
	    -     Penggandaan modul mata ajar  [10 MA x 5 MODUL x 10 LB x 5 SET]	2500	LBR	200	500000		
	    -     Penggandaan Silabi, SAP, Kontrak Belajar  [10 MA x 2 SMT x 10 LB x 5 SET]	1000	LBR	200	200000		
	    -     Konsumsi rapat pembelajaran PBM  [15 DSN x 2 KL x 1 TH]	30	OK	25000	750000		
     525115	Belanja Perjalanan	0		0	18300000		F
	    -     Transport Dosen Tamu  [5 KL x 2 DSN]	10	OK	150000	1500000		
	    -     Transport  Dosen tidak tetap  [14 TM x 2 KLS x 2 SMT x 2 DSN]	112	OK	150000	16800000		
     525119	Belanja Penyediaan Barang dan Jasa BLU Lainnya	0		0	78800000		F
	    -     Pemenuhan Kompetensi Bahasa Inggris  [104 MHS x 1 KEG]	104	ORG	400000	41600000		
	    -     Pemenuhan kompetensi IT  [90 MHS x 1 KL]	90	OK	400000	37200000		
     AB	D-III Keperawatan Purwokerto	0		0	151590000		
     525111	Belanja Gaji dan Tunjangan	0		0	23840000		F
	    -     Honor DTT pembuatan soal  [2 OR x 2 SMT x 2 KEG]	8	OK	230000	1840000		
	    -     Honor Dosen Tamu  [2 KL x 1 DSN x 2 JAM]	4	OK	250000	1000000		
	    -     Honor Dosen tidak tetap  [2 SKS x 14 TM x 3 KLS x 1 SMT]	84	OJ	250000	21000000		
     525112	Belanja Barang	0		0	1450000		F
	    -     Penggandaan modul mata ajar  [10 MA x 5 MODUL x 10 LB x 5 SET]	2500	LBR	200	500000		
	    -     Penggandaan Silabi, SAP, Kontrak Belajar  [10 MA x 2 SMT x 10 LB x 5 SET]	1000	LBR	200	200000		
	    -     Konsumsi rapat pembelajaran PBM  [15 DSN x 2 KL x 1 TH]	30	OK	25000	750000		
     525115	Belanja Perjalanan	0		0	13500000		F
	    -     Transport Dosen Tamu  [3 KL x 2 DSN]	6	OK	150000	900000		
	    -     Transport  Dosen tidak tetap  [2 SKS x 14 TM x 3 KLS x 1 SMT]	84	OK	150000	12600000		
     525119	Belanja Penyediaan Barang dan Jasa BLU Lainnya	0		0	112800000		F
	    -     Pemenuhan Kompetensi Bahasa Inggris  [141 MHS x 1 KEG]	141	ORG	400000	56400000		
	    -     Pemenuhan kompetensi IT  [141 MHS x 1 KL]	141	OK	400000	56400000		
     AC	D-III Keperawatan Pekalongan	0		0	111790000		
     525111	Belanja Gaji dan Tunjangan	0		0	13840000		F
	    -     Honor Dosen Tamu  [2 KL x 1 DSN x 2 JAM]	4	OK	200000	800000		
	    -     Honor Dosen tidak tetap  [2 SKS x 14 TM x 2 KLS x 1 SMT]	56	OJ	200000	11200000		
	    -     Honor DTT pembuatan soal  [2 OR x 2 SMT x 2 KEG]	8	OK	230000	1840000		
     525112	Belanja Barang	0		0	1450000		F
	    -     Penggandaan modul mata ajar  [10 MA x 5 MODUL x 10 LB x 5 SET]	2500	LBR	200	500000		
	    -     Penggandaan Silabi, SAP, Kontrak Belajar  [10 MA x 2 SMT x 10 LB x 5 SET]	1000	LBR	200	200000		
	    -     Konsumsi rapat pembelajaran PBM  [15 DSN x 2 KL x 1 TH]	30	OK	25000	750000		
     525115	Belanja Perjalanan	0		0	9300000		F
	    -     Transport  Dosen tidak tetap  [2 SKS x 14 TM x 2 KLS x 1 SMT]	56	OK	150000	8400000		
	    -     Transport Dosen Tamu  [3 KL x 2 DSN]	6	OK	150000	900000		
     525119	Belanja Penyediaan Barang dan Jasa BLU Lainnya	0		0	87200000		F
	    -     Pemenuhan Kompetensi Bahasa Inggris  [109 MHS x 1 KEG]	109	ORG	400000	43600000		
	    -     Pemenuhan kompetensi IT  [109 MHS x 1 KL]	109	OK	400000	43600000		
     AD	D-III Keperawatan Blora	0		0	114390000		
     525111	Belanja Gaji dan Tunjangan	0		0	13840000		F
	    -     Honor Dosen Tamu  [2 KL x 1 DSN x 2 JAM]	4	OK	200000	800000		
	    -     Honor Dosen tidak tetap  [2 SKS x 14 TM x 2 KLS x 1 SMT]	56	OJ	200000	11200000		
	    -     Honor DTT pembuatan soal  [2 OR x 2 SMT x 2 KEG]	8	OK	230000	1840000		
     525112	Belanja Barang	0		0	1950000		F
	    -     Penggandaan modul mata ajar  [10 MA x 5 MODUL x 10 LB x 5 SET]	2500	LBR	200	500000		
	    -     Penggandaan Silabi, SAP, Kontrak Belajar  [10 MA x 2 SMT x 10 LB x 5 SET]	1000	LBR	200	200000		
	    -     Konsumsi rapat pembelajaran PBM  [25 DSN x 2 KL x 1 TH]	50	OK	25000	1250000		
     525115	Belanja Perjalanan	0		0	9000000		F
	    -     Transport Dosen Tamu  [2 KL x 2 DSN]	4	OK	150000	600000		
	    -     Transport  Dosen tidak tetap  [2 SKS x 14 TM x 2 KLS x 1 SMT]	56	OK	150000	8400000		
     525119	Belanja Penyediaan Barang dan Jasa BLU Lainnya	0		0	89600000		F
	    -     Pemenuhan Kompetensi Bahasa Inggris  [112 MHS x 1 KEG]	112	ORG	400000	44800000		
	    -     Pemenuhan kompetensi IT  [112 MHS x 1 KL]	112	OK	400000	44800000		
     AE	D-III Keperawatan Magelang	0		0	132190000		
     525111	Belanja Gaji dan Tunjangan	0		0	30640000		F
	    -     Honor DTT pembuatan soal  [2 OR x 2 SMT x 2 KEG]	8	OK	230000	1840000		
	    -     Honor Dosen Tamu  [2 KL x 1 DSN x 2 JAM]	4	OK	200000	800000		
	    -     Honor Dosen tidak tetap  [4 SKS x 14 TM x 2 KLS x 1 SMT]	112	OJ	250000	28000000		
     525112	Belanja Barang	0		0	1450000		F
	    -     Penggandaan modul mata ajar  [10 MA x 5 MODUL x 10 LB x 5 SET]	2500	LBR	200	500000		
	    -     Penggandaan Silabi, SAP, Kontrak Belajar  [10 MA x 2 SMT x 10 LB x 5 SET]	1000	LBR	200	200000		
	    -     Konsumsi rapat pembelajaran PBM  [15 DSN x 2 KL x 1 TH]	30	OK	25000	750000		
     525115	Belanja Perjalanan	0		0	17700000		F
	    -     Transport Dosen Tamu  [3 KL x 2 DSN]	6	OK	150000	900000		
	    -     Transport  Dosen tidak tetap  [2 SKS x 14 TM x 2 KLS x 2 SMT]	112	OK	150000	16800000		
     525119	Belanja Penyediaan Barang dan Jasa BLU Lainnya	0		0	82400000		F
	    -     Pemenuhan Kompetensi Bahasa Inggris  [103 MHS x 1 KEG]	103	ORG	400000	41200000		
	    -     Pemenuhan kompetensi IT  [103 MHS x 1 KL]	103	OK	400000	41200000		
     AF	D-IV Keperawatan Semarang	0		0	81890000		
     525111	Belanja Gaji dan Tunjangan	0		0	38190000		F
	    -     Honor Dosen Tamu  [4 DSN x 1 KEG x 2 JAM]	8	OK	250000	2000000		
	    -     Honor Dosen tamu kelas internasional  [1 DSN x 1 KEG x 2 JAM]	2	OK	250000	500000		
	    -     Honor Dosen tidak tetap  [3 MK x 14 TM x 2 SKS x 1 TH]	84	OJ	250000	21000000		
	    -     Honor DTT Kelas Internasional  [2 MK x 14 TM x 2 SKS]	56	OJ	250000	14000000		
	    -     Honor pembuatan soal DTT  [3 MK x 1 KEG]	3	OK	230000	690000		
     525112	Belanja Barang	0		0	1450000		F
	    -     Penggandaan modul mata ajar  [10 MA x 5 MODUL x 10 LB x 5 SET]	2500	LBR	200	500000		
	    -     Penggandaan Silabi, SAP, Kontrak Belajar  [10 MA x 2 SMT x 10 LB x 5 SET]	1000	LBR	200	200000		
	    -     Konsumsi rapat pembelajaran PBM  [15 DSN x 2 KL x 1 TH]	30	OK	25000	750000		
     525115	Belanja Perjalanan	0		0	7050000		F
	    -     Transport Dosen Tamu  [5 DSN x 1 KEG]	5	OK	150000	750000		
	    -     Transport  Dosen tidak tetap  [3 MK x 14 TM]	42	OK	150000	6300000		
     525119	Belanja Penyediaan Barang dan Jasa BLU Lainnya	0		0	35200000		F
	    -     Pemenuhan kompetensi IT  [44 MHS x 1 KEG]	44	OK	400000	17600000		
	    -     Pemenuhan kompetensi Bahasa Inggris  [44 MHS x 1 KEG]	44	OK	400000	17600000		
     AJ	D-IV Keperawatan Magelang	0		0	40650000		
     525111	Belanja Gaji dan Tunjangan	0		0	8000000		F
	    -     Honor Dosen Tamu  [2 KL x 1 DSN x 2 JAM]	4	OK	250000	1000000		
	    -     Honor Dosen tidak tetap  [2 SKS x 14 TM x 1 KLS x 1 SMT]	28	OJ	250000	7000000		
     525112	Belanja Barang	0		0	1450000		F
	    -     Penggandaan modul mata ajar  [10 MA x 5 MODUL x 10 LB x 5 SET]	2500	LBR	200	500000		
	    -     Penggandaan Silabi, SAP, Kontrak Belajar  [10 MA x 2 SMT x 10 LB x 5 SET]	1000	LBR	200	200000		
	    -     Konsumsi rapat pembelajaran PBM  [15 DSN x 2 KL x 1 TH]	30	OK	25000	750000		
     525115	Belanja Perjalanan	0		0	4800000		F
	    -     Transport  Dosen tidak tetap  [2 SKS x 14 TM x 1 KLS x 1 SMT]	28	OK	150000	4200000		
	    -     Transport Dosen Tamu  [2 KL x 2 DSN]	4	OK	150000	600000		
     525119	Belanja Penyediaan Barang dan Jasa BLU Lainnya	0		0	26400000		F
	    -     Pemenuhan kompetensi Bahasa Inggris  [33 MHS x 1 KL]	33	OK	400000	13200000		
	    -     Pemenuhan kompetensi IT  [33 MHS x 1 KEG]	33	OK	400000	13200000		
     AK	Profesi Ners	0		0	44950000		
     525111	Belanja Gaji dan Tunjangan	0		0	35700000		F
	    -     Honor pembuatan soal dan koreksi  [5 MK x 2 KEG]	10	OK	150000	1500000		
	    -     Honor DTT pengkayaan materi  [5 DSN x 10 TM x 2 JAM]	100	OK	100000	10000000		
	    -     Honor DTT Panum dan OSCA  [10 KEG x 2 JAM x 4 DOSEN]	80	OK	100000	8000000		
	    -     Honor Ujian Panum dan OSCA  [90 MHS x 1 PGJ x 12 STASE]	1080	OK	15000	16200000		
     525112	Belanja Barang	0		0	1450000		F
	    -     Penggandaan modul mata ajar  [10 MA x 5 MODUL x 10 LB x 5 SET]	2500	LBR	200	500000		
	    -     Penggandaan Silabi, SAP, Kontrak Belajar  [10 MA x 2 SMT x 10 LB x 5 SET]	1000	LBR	200	200000		
	    -     Konsumsi persiapan dan evaluasi PBM  [15 ORG x 2 KEG]	30	OK	25000	750000		
     525115	Belanja Perjalanan	0		0	7800000		F
	    -     Transport DTT Panum dan OSCA  [10 KEG x 4 DSN]	40	OK	150000	6000000		
	    -     Transport penguji OSCA  [12 PGJ x 1 KEG]	12	OK	150000	1800000		
     AL	D-IV Keperawatan Semarang Alih Jenjang	0		0	70520000		
     525111	Belanja Gaji dan Tunjangan	0		0	1420000		F
	    -     Honor dosen tamu  [1 DSN x 1 TM x 2 JAM]	2	OK	250000	500000		
	    -     Honor pembuatan soal  [2 MK x 2 SMT]	4	OK	230000	920000		
     525112	Belanja Barang	0		0	1450000		F
	    -     Penggandaan modul mata ajar  [10 MA x 5 MODUL x 10 LB x 5 SET]	2500	LBR	200	500000		
	    -     Penggandaan Silabi, SAP, Kontrak Belajar  [10 MA x 2 SMT x 10 LB x 5 SET]	1000	LBR	200	200000		
	    -     Konsumsi persiapan dan evaluasi PBM  [15 ORG x 2 KEG]	30	OK	25000	750000		
     525115	Belanja Perjalanan	0		0	150000		F
	    -     Transpor dosen tamu  [1 MA x 1 DSN x 1 KEG]	1	OK	150000	150000		
     525119	Belanja Penyediaan Barang dan Jasa BLU Lainnya	0		0	67500000		F
	    -     Biaya pemenuhan kompetensi PPI  [30 MHS x 1 KEG]	30	OK	1250000	37500000		
	    -     Biaya pemenuhan kompetensi  K3  [30 MHS x 1 KEG]	30	OK	1000000	30000000		
   053	Praktek Kerja Lapangan	0		0	1782620000		
      B	PRODI D-III KEPERAWATAN SEMARANG	0		0	186450000		
     525111	Belanja Gaji dan Tunjangan	0		0	72675000		F
	    -     Honor Penguji Pencapaian Kompetensi tk I  [90 MHS x 1 PGJ x 1 MA]	90	OK	75000	6750000		
	    -     Honor Penguji Pencapaian Kompetensi tk II  [85 MHS x 1 PGJ x 3 MA]	255	OK	75000	19125000		
	    -     Honor Penguji Pencapaian Kompetensi tk III  [104 MHS x 1 PGJ x 6 MA]	624	OK	75000	46800000		
     525115	Belanja Perjalanan	0		0	17200000		F
	    -     Uang harian penyerahan dan penarikan praktek klinik luar kota di jawa tengah  [1 ORG x 4 RS x 2 KEG]	8	OK	350000	2800000		
	    -     Uang harian bimbingan praktek klinik luar kota  [1 OR x 2 MK x 4 RS]	8	OH	350000	2800000		
	    -     Transport bimbingan praktek klinik dalam kota  [1 OR x 2 MK x 2 RS]	4	OK	150000	600000		
	    -     Uang harian rapat koordinasi CI klinik Rumah Sakit  [4 RS x 2 KEG x 10 ORG]	80	OK	130000	10400000		
	    -     Transport penyerahan dan penarikan praktek klinik dalam kota  [1 ORG x 2 RS x 2 KEG]	4	OK	150000	600000		
     525119	Belanja Penyediaan Barang dan Jasa BLU Lainnya	0		0	96575000		F
	    -     Konsumsi rapat koordinasi CI persiapan praktek klinik  [4 RS x 5 OR x 1 KEG]	20	OK	25000	500000		
	    -     Konsumsi rapat persiapan dan evaluasi praktek  [15 OR x 1 KEG]	15	OK	25000	375000		
	    -     Biaya lahan praktek Tk. I  [90 MHS x 3 MG x 1 MK]	270	OK	50000	13500000		
	    -     Biaya lahan praktek tk. II  [85 MHS x 3 MGG x 4 MK]	1020	OK	50000	51000000		
	    -     Biaya lahan praktek tk. III  [104 MHS x 3 MGG x 2 MK]	624	OK	50000	31200000		
      C	PRODI D-III KEPERAWATAN MAGELANG	0		0	191870000		
     525111	Belanja Gaji dan Tunjangan	0		0	69450000		F
	    -     Honor Penguji Pencapaian Kompetensi TK I  [90 MHS x 1 PGJ x 1 MK]	90	OK	75000	6750000		
	    -     Honor Penguji Pencapaian Kompetensi TK II  [89 MHS x 1 PGJ x 4 MK]	356	OK	75000	26700000		
	    -     Honor Penguji Pencapaian Kompetensi TK III  [80 MHS x 1 PGJ x 6 MK]	480	OK	75000	36000000		
     525115	Belanja Perjalanan	0		0	3370000		F
	    -     Uang harian rapat koordinasi CI klinik Rumah Sakit  [2 RS x 2 KEG x 1 ORG]	4	OK	130000	520000		
	    -     Uang harian penyerahan dan penarikan praktek klinik luar kota  [1 ORG x 2 RS x 2 KEG]	4	OK	150000	600000		
	    -     Uang harian bimbingan kegiatan PKL luar kota  [1 OR x 3 RS]	3	OH	350000	1050000		
	    -     Transport bimbingan PKL dalam kota  [1 OR x 2 KEG x 2 RS]	4	OK	150000	600000		
	    -     Transport penyerahan dan penarikan praktek klinik dalam kota  [1 ORG x 2 RS x 2 KEG]	4	OK	150000	600000		
     525119	Belanja Penyediaan Barang dan Jasa BLU Lainnya	0		0	119050000		F
	    -     Konsumsi rapat bimbingan dan seminar klinik  [2 RS x 3 OR x 1 KL]	6	ORG	25000	150000		
	    -     Konsumsi persiapan dan evaluasi praktek  [10 OR x 2 KEG]	20	KEG	25000	500000		
	    -     Biaya Lahan Praktek Tk. I  [90 MHS x 3 MG]	270	OK	40000	10800000		
	    -     Biaya Lahan Praktek Tk. II  [89 MHS x 10 MG]	890	OK	40000	35600000		
	    -     Biaya Lahan Praktek Tk. III  [80 MHS x 18 MG]	1440	OK	50000	72000000		
      D	PRODI DIII KEPERAWATAN PURWOKERTO	0		0	256835000		
     525111	Belanja Gaji dan Tunjangan	0		0	105075000		F
	    -     Honor Penguji Pencapaian Kompetensi TK I  [143 MHS x 1 PGJ x 1 MK]	143	OK	75000	10725000		
	    -     Honor Penguji Pencapaian Kompetensi TK II  [130 MHS x 1 PGJ x 4 MK]	520	OK	75000	39000000		
	    -     Honor Penguji Pencapaian Kompetensi TK III  [123 MHS x 1 PGJ x 6 MK]	738	OK	75000	55350000		
     525115	Belanja Perjalanan	0		0	4260000		F
	    -     Uang harian rapat koordinasi CI klinik Rumah Sakit  [2 RS x 1 KEG x 1 ORG]	2	OK	130000	260000		
	    -     Uang harian penyerahan dan penarikan praktek klinik luar kota  [1 ORG x 2 RS x 2 KEG]	4	OK	350000	1400000		
	    -     Uang harian bimbingan kegiatan PKL luar kota  [1 OR x 2 KEG x 2 RS]	4	OH	350000	1400000		
	    -     Transport bimbingan PKL dalam kota  [1 OR x 2 KEG x 2 RS]	4	OK	150000	600000		
	    -     Transport penyerahan dan penarikan praktek klinik dalam kota  [1 ORG x 2 RS x 2 KEG]	4	OK	150000	600000		
     525119	Belanja Penyediaan Barang dan Jasa BLU Lainnya	0		0	147500000		F
	    -     Konsumsi rapat bimbingan dan seminar klinik  [2 RS x 1 OR x 2 KL]	4	ORG	25000	100000		
	    -     Konsumsi persiapan dan evaluasi praktek  [2 KL x 15 OR]	30	KEG	25000	750000		
	    -     Biaya Lahan Praktek Tk. I  [143 MHS x 3 MGGU]	429	OK	40000	17160000		
	    -     Biaya Lahan Praktek Tk. II  [130 MHS x 10 MGGU]	1300	OK	40000	52000000		
	    -     Biaya Lahan Praktek Tk. III  [123 MHS x 18 MGGU]	2214	OK	35000	77490000		
      E	PRODI D-III KEPERAWATAN PEKALONGAN	0		0	192665000		
     525111	Belanja Gaji dan Tunjangan	0		0	88425000		F
	    -     Honor Penguji Pencapaian Kompetensi TK I  [111 MHS x 1 PGJ x 1 MK]	111	OK	75000	8325000		
	    -     Honor Penguji Pencapaian Kompetensi TK II  [105 MHS x 1 PGJ x 4 MK]	420	OK	75000	31500000		
	    -     Honor Penguji Pencapaian Kompetensi TK III  [108 MHS x 1 PGJ x 6 MK]	648	OK	75000	48600000		
     525115	Belanja Perjalanan	0		0	5120000		F
	    -     Uang harian rapat koordinasi CI klinik Rumah Sakit  [2 RS x 2 KEG x 1 ORG]	4	OK	130000	520000		
	    -     Uang harian penyerahan dan penarikan praktek klinik luar kota  [1 ORG x 2 RS x 2 KEG]	4	OK	350000	1400000		
	    -     Uang harian bimbingan kegiatan PKL luar kota  [1 OR x 2 KEG x 2 RS]	4	OH	350000	1400000		
	    -     Transport supervisi PKL dalam kota  [1 OR x 2 KEG x 2 RS]	8	OK	150000	1200000		
	    -     Uang Harian Penyerahan dan Penarikan Praktik Dalam Kota  [1 ORG x 2 RS x 2 KEG]	4	OK	150000	600000		
     525119	Belanja Penyediaan Barang dan Jasa BLU Lainnya	0		0	99120000		F
	    -     Konsumsi rapat bimbingan dan seminar klinik  [2 RS x 1 OR x 2 KL]	4	ORG	25000	100000		
	    -     Konsumsi persiapan dan evaluasi praktek  [2 KL x 10 OR]	20	KEG	25000	500000		
	    -     Biaya Lahan Praktek Tk. I  [111 MHS x 3 MGGU]	333	OK	40000	13320000		
	    -     Biaya Lahan Praktek Tk. II  [105 MHS x 10 MGGU]	1050	OK	40000	42000000		
	    -     Biaya Lahan Praktek Tk. III  [108 MHS x 10 MGGU]	1080	OK	40000	43200000		
      F	PRODI D-III KEPERAWATAN BLORA	0		0	239945000		
     525111	Belanja Gaji dan Tunjangan	0		0	93825000		F
	    -     Honor Penguji Pencapaian Kompetensi TK I  [123 MHS x 1 PGJ x 1 MK]	123	OK	75000	9225000		
	    -     Honor Penguji Pencapaian Kompetensi TK II  [114 MHS x 1 PGJ x 4 MK]	456	OK	75000	34200000		
	    -     Honor Penguji Pencapaian Kompetensi TK III  [112 MHS x 1 PGJ x 6 MK]	672	OK	75000	50400000		
     525115	Belanja Perjalanan	0		0	4520000		F
	    -     Uang harian rapat koordinasi CI Rumah Sakit  [2 RS x 2 KEG x 1 ORG]	4	OK	130000	520000		
	    -     Uang harian penyerahan dan penarikan praktek klinik luar kota  [1 ORG x 2 RS x 2 KEG]	4	OK	350000	1400000		
	    -     Uang harian bimbingan kegiatan PKL luar kota  [1 OR x 2 KEG x 2 RS]	4	OH	350000	1400000		
	    -     Transport bimbingan PKL dalam kota  [1 OR x 2 KEG x 2 RS]	4	OK	150000	600000		
	    -     Transport penyerahan dan penarikan praktek klinik dalam kota  [1 ORG x 2 RS x 2 KEG]	4	OK	150000	600000		
     525119	Belanja Penyediaan Barang dan Jasa BLU Lainnya	0		0	141600000		F
	    -     Konsumsi rapat bimbingan dan seminar klinik  [2 RS x 1 OR x 2 KL]	4	ORG	25000	100000		
	    -     Konsumsi persiapan dan evaluasi praktek  [10 OR x 2 KEG]	20	KEG	25000	500000		
	    -     Biaya lahan praktek TK.I  [123 MHS x 3 MGG]	369	OK	40000	14760000		
	    -     Biaya lahan TKII  [114 MHS x 10 MG]	1140	OK	40000	45600000		
	    -     Biaya lahan TK III semester  [112 MHS x 18 MG]	2016	OK	40000	80640000		
      G	PRODI D-IV KEPERAWATAN MAGELANG	0		0	125275000		
     525111	Belanja Gaji dan Tunjangan	0		0	50475000		F
	    -     Honor Penguji Pencapaian Kompetensi TK I  [70 MHS x 1 PGJ x 1 MK]	70	OK	75000	5250000		
	    -     Honor Penguji Pencapaian Kompetensi TK II  [35 MHS x 1 PGJ x 3 MA]	105	OK	75000	7875000		
	    -     Honor Penguji Pencapaian Kompetensi TK III  [50 MHS x 1 PGJ x 6 MA]	300	OK	75000	22500000		
	    -     Honor Penguji Pencapaian Kompetensi TK IV  [33 MHS x 1 PGJ x 6 MA]	198	OK	75000	14850000		
     525115	Belanja Perjalanan	0		0	5920000		F
	    -     Uang harian rapat koordinasi CI RS  [2 RS x 2 KEG x 1 ORG]	4	OK	130000	520000		
	    -     Uang harian penyerahan dan penarikan praktek klinik luar kota  [1 ORG x 2 RS x 2 KL]	4	OK	350000	1400000		
	    -     Uang harian supervisi kegiatan PKL luar kota  [1 OR x 1 KL x 2 HR x 2 RS]	4	OH	350000	1400000		
	    -     Transport supervisi PKL luar kota  [1 OR x 2 KL x 1 PP x 2 RS]	4	OK	350000	1400000		
	    -     Transport penyerahan dan penarikan praktek klinik dalam kota  [1 ORG x 2 RS x 2 KL]	4	OK	150000	600000		
	    -     Transport penjajagan lahan praktek dalam kota  [1 ORG x 2 RS x 2 KL]	4	OK	150000	600000		
     525119	Belanja Penyediaan Barang dan Jasa BLU Lainnya	0		0	68880000		F
	    -     konsumsi rapat bimbingan dan seminar klinik  [2 RS x 1 OR x 2 KL]	4	ORG	25000	100000		
	    -     Konsumsi persiapan dan evaluasi praktek  [2 KL x 10 OR]	20	KEG	25000	500000		
